station_id,station_name_id,station_name,location_id,latitude,longitude,first_hour,last_hour,days_covered,active_hours,total_n_lends,total_n_returns,total_demand,avg_daily_demand,continent_name,country_name,city_name,federal_state_name,postal_code,elevation
339352,20047,Jungbusch - Popakademie,10600,49.497,8.458,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,30666,30562,61228,58.93,EU,Germany,Mannheim,Baden-Württemberg,68169,
339354,20053,K1 - Kurpfalzbrücke,10506,49.493,8.47,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,38424,38398,76822,73.938,EU,Germany,Mannheim,Baden-Württemberg,68161,
339456,19817,Gewerkschaftshaus,10454,49.491,8.476,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,18174,17927,36101,34.746,EU,Germany,Mannheim,Baden-Württemberg,68161,
339457,20982,Theresienkrankenhaus,10428,49.49,8.48,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,8586,8546,17132,16.489,EU,Germany,Mannheim,Baden-Württemberg,68161,
339459,20431,Nationaltheater,10354,49.488,8.479,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,12770,12753,25523,24.565,EU,Germany,Mannheim,Baden-Württemberg,68161,
339461,20141,Kongresszentrum Rosengarten,10226,49.485,8.477,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,14726,14678,29404,28.3,EU,Germany,Mannheim,Baden-Württemberg,68165,
339462,20624,R1 - Marktplatz,10419,49.49,8.468,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,31219,31040,62259,59.922,EU,Germany,Mannheim,Baden-Württemberg,68161,
339463,19597,E1 - Paradeplatz,10342,49.488,8.466,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,46769,46552,93321,89.818,EU,Germany,Mannheim,Baden-Württemberg,68161,
339464,19598,E4 - Rathaus,10376,49.489,8.463,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,23838,23773,47611,45.824,EU,Germany,Mannheim,Baden-Württemberg,68159,
339465,20163,Kunsthalle,10140,49.483,8.475,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,17294,17102,34396,33.105,EU,Germany,Mannheim,Baden-Württemberg,68165,
339466,19784,G7 - Westliche Unterstadt,10440,49.491,8.462,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,30264,30214,60478,58.208,EU,Germany,Mannheim,Baden-Württemberg,68159,
339468,21064,Universität Mensa,10210,49.485,8.46,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,47204,47265,94469,90.923,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68163,
339472,16,A5 - Universität West,10296,49.487,8.458,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,87292,86613,173905,167.377,EU,Germany,Mannheim,Baden-Württemberg,68159,
339473,20187,L1 - Schloss,10213,49.485,8.463,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,21622,20398,42020,40.443,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68163,
339475,19900,Hauptbahnhof Mannheim 1,10026,49.48,8.47,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,123053,120013,243066,233.942,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68161,
339476,20046,Jungbusch - Jungbuschstraße,10501,49.493,8.459,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,46791,46763,93554,90.042,EU,Germany,Mannheim,Baden-Württemberg,68159,
339478,19970,Hochschule Mannheim,9502,49.47,8.482,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,37222,37132,74354,71.563,EU,Germany,Mannheim,Baden-Württemberg,68163,
339481,20538,Oststadt - Luisenpark,10039,49.48,8.495,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,12228,12242,24470,23.551,EU,Germany,Mannheim,Baden-Württemberg,68165,
339485,20853,Schwetzingerstadt - Pestalozzischule,9985,49.479,8.483,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,33918,33925,67843,65.296,EU,Germany,Mannheim,Baden-Württemberg,68165,
339487,20426,N5 - Kapuzinerplanken ,10218,49.485,8.469,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,25399,25345,50744,48.839,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68161,
34525897,20691,Roche - Tor 1,10913,49.53,8.468,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,1613,1595,3208,3.088,EU,Germany,Mannheim,Baden-Württemberg,68305,
364019650,32260,Lindenhofplatz / HBF Süd,9912,49.478,8.468,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,31331,31013,62344,60.004,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68161,
378595589,34126,Feudenheim - St. Peter & Paul Kirche,123635,49.486,8.531,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,1611,1621,3232,3.111,EU,Germany,Mannheim,Baden-Württemberg,68259,
378596026,34237,Seckenheim - Wasserturm / Kapellenplatz,123361,49.463,8.556,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,1621,1651,3272,3.149,EU,Germany,Mannheim,Baden-Württemberg,68239,
378596121,35250,Seckenheim - Rathaus,70560,49.467,8.563,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,1846,1851,3697,3.558,EU,Germany,Ilvesheim,Baden-Württemberg,68239,
381679124,40670,Jungbusch - Werftstraße,10573,49.496,8.458,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,1905,1890,3795,3.653,EU,Germany,Mannheim,Baden-Württemberg,68169,
38930075,30413,Franklin - Bensheimer Straße,81884,49.514,8.528,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,3361,3387,6748,6.495,EU,Germany,Mannheim,Baden-Württemberg,68309,
38930122,20167,Käfertal Mitte,10832,49.512,8.518,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,1902,1900,3802,3.659,EU,Germany,Mannheim,Baden-Württemberg,68309,
38930150,19723,Franklin -  George-Washington-Straße,10857,49.519,8.531,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,1776,1772,3548,3.415,EU,Germany,Mannheim,Baden-Württemberg,68309,
450006188,37309,Käfertal - Spinelli / Völklinger Achse,10750,49.503,8.519,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,1846,1840,3686,3.548,EU,Germany,Mannheim,Baden-Württemberg,68259,
4726808,19525,DHBW Mannheim - Campus Coblitzallee,9688,49.473,8.534,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,13734,13694,27428,26.398,EU,Germany,Mannheim,Baden-Württemberg,68163,
4726822,19527,DHBW Mannheim - Campus Käfertalerstr.,10712,49.501,8.5,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,9700,9659,19359,18.632,EU,Germany,Mannheim,Baden-Württemberg,68167,
4915747,20549,P7 - Fressgasse,10266,49.486,8.474,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,13845,13583,27428,26.398,EU,Germany,Mannheim,Baden-Württemberg,68161,
5582461,20539,Oststadt Karl-Ludwig-Straße,10110,49.482,8.483,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,8834,8820,17654,16.991,EU,Germany,Mannheim,Baden-Württemberg,68165,
57585097,20771,S-Bahnhof Waldhof,10886,49.526,8.482,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,3184,3165,6349,6.111,EU,Germany,Mannheim,Baden-Württemberg,68305,
57585616,20690,Roche - Oppauer Straße,10898,49.528,8.476,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,1943,1933,3876,3.731,EU,Germany,Mannheim,Baden-Württemberg,68305,
58196168,19861,HBf / Hilton Garden Inn,10027,49.48,8.471,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,24435,24342,48777,46.946,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68161,
58196617,20232,Lindenhof / NTR,9822,49.476,8.471,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,8781,8694,17475,16.819,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68161,
660937,20230,Lindenhof - Lindenhofplatz,9859,49.477,8.468,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,12736,12696,25432,24.477,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68161,
660939,20434,Neckarau - Markuskirche,9141,49.465,8.476,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,23415,23435,46850,45.091,EU,Germany,Mannheim,Baden-Württemberg,68199,
660943,20855,Schwetzingerstadt - rnv Betriebshof Möhlstraße,9738,49.474,8.487,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,13610,13588,27198,26.177,EU,Germany,Mannheim,Baden-Württemberg,68165,
660945,20850,Schwetzingerstadt - Dynamostraße,9790,49.475,8.49,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,7300,7224,14524,13.979,EU,Germany,Mannheim,Baden-Württemberg,68165,
660951,21065,Universität Schloss,10132,49.483,8.463,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,82223,82180,164403,158.232,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68163,
660971,20433,Neckarau - Hans-Sachs-Ring,8342,49.457,8.481,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,32330,32255,64585,62.161,EU,Germany,Mannheim,Baden-Württemberg,68199,
660974,20328,MVV Hochhaus,10530,49.494,8.468,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,15726,15664,31390,30.212,EU,Germany,Mannheim,Baden-Württemberg,68161,
660978,20437,Neckarstadt-Ost  - Carl-Zuckmayer-Straße,10803,49.508,8.476,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,11063,11035,22098,21.269,EU,Germany,Mannheim,Baden-Württemberg,68169,
660983,20441,Neckarstadt-West - Riedfeldstraße,10721,49.502,8.465,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,12226,12213,24439,23.522,EU,Germany,Mannheim,Baden-Württemberg,68169,
7853258,21066,Universitätsklinik Mannheim,10488,49.492,8.483,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,46756,46643,93399,89.893,EU,Germany,Mannheim,Baden-Württemberg,68161,
9214247,20339,Mannheimer Straße,10807,49.508,8.512,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,4987,4998,9985,9.61,EU,Germany,Mannheim,Baden-Württemberg,68309,
