network_name,total_rows,rows_real,rows_bike,rows_virtual,rows_only_nums,rows_unknown,unique_real_stations,unique_bike_stations,unique_virtual_stations,bike_return_pct,system_type
Geilenkirchen,5397,4856,541,0,0,0,4,38,0,10.02,hybrid
Roche - Mannheim,5274,3996,1278,0,0,0,10,87,0,24.23,free_floating
Viernheim,5264,4803,461,0,0,0,11,106,0,8.76,hybrid
Achern,5205,4778,427,0,0,0,6,122,0,8.2,hybrid
Schriesheim,5122,4780,342,0,0,0,2,233,0,6.68,hybrid
Oberhausen,5000,4509,491,0,0,0,22,219,0,9.82,hybrid
Bad Neuenahr-Ahrweiler,3963,3153,810,0,0,0,6,82,0,20.44,free_floating
Bürstadt,3555,3289,266,0,0,0,10,112,0,7.48,hybrid
Friedrichsdorf,3223,2834,389,0,0,0,9,56,0,12.07,hybrid
Freital,3091,2460,631,0,0,0,12,241,0,20.41,free_floating
Ilvesheim,2300,2145,155,0,0,0,5,115,0,6.74,hybrid
Bottrop,2249,2090,159,0,0,0,8,82,0,7.07,hybrid
Bad Oeynhausen,2180,1801,379,0,0,0,14,62,0,17.39,free_floating
Neu-Anspach,2180,1951,229,0,0,0,4,48,0,10.5,hybrid
Gengenbach,2091,1852,239,0,0,0,3,70,0,11.43,hybrid
Erkelenz,2014,1627,387,0,0,0,5,59,0,19.22,free_floating
Bad Breisig,1964,1615,349,0,0,0,3,58,0,17.77,free_floating
Hattingen,1704,1487,217,0,0,0,10,104,0,12.73,hybrid
Bad Sassendorf,1619,1429,190,0,0,0,6,69,0,11.74,hybrid
Schutterwald,1545,1300,245,0,0,0,2,131,0,15.86,free_floating
Usingen,1468,1314,154,0,0,0,4,41,0,10.49,hybrid
Gaggenau,1163,918,245,0,0,0,4,38,0,21.07,free_floating
Appenweier,947,835,112,0,0,0,2,49,0,11.83,hybrid
Friesenheim,827,655,172,0,0,0,3,81,0,20.8,free_floating
Seelbach,675,574,101,0,0,0,2,55,0,14.96,hybrid
Ense,660,555,105,0,0,0,6,43,0,15.91,free_floating
Oberkirch,659,608,51,0,0,0,3,33,0,7.74,hybrid
Sinzig,565,406,159,0,0,0,1,52,0,28.14,free_floating
Wegberg,446,289,157,0,0,0,4,41,0,35.2,free_floating
Hückelhoven,430,257,173,0,0,0,4,22,0,40.23,free_floating
Grafschaft-Ringen,423,289,134,0,0,0,1,51,0,31.68,free_floating
Heinsberg,407,261,146,0,0,0,4,28,0,35.87,free_floating
Rheinau,322,258,64,0,0,0,3,32,0,19.88,free_floating
Taucha,261,151,110,0,0,0,13,44,0,42.15,free_floating (flasch keine Rückgabe erlaubt)
Lippetal,233,202,31,0,0,0,3,22,0,13.3,hybrid
Altenahr,201,120,81,0,0,0,2,26,0,40.3,free_floating
Hockenheim,176,160,16,0,0,0,8,10,0,9.09,hybrid
Kempenich,148,77,71,0,0,0,1,25,0,47.97,free_floating
Niederzissen,138,69,69,0,0,0,1,28,0,50.0,free_floating
Anröchte,72,40,32,0,0,0,1,14,0,44.44,free_floating
Gundelfingen,69,53,16,0,0,0,4,13,0,23.19,free_floating
Adenau,59,33,26,0,0,0,1,11,0,44.07,free_floating
Halle,51,33,18,0,0,0,15,15,0,35.29,free_floating
Democity 2,41,30,11,0,0,0,3,4,0,26.83,free_floating
Democity,33,27,6,0,0,0,4,4,0,18.18,free_floating
Merzhausen,32,19,13,0,0,0,1,7,0,40.62,free_floating
Leimen,22,15,7,0,0,0,5,7,0,31.82,free_floating
Umkirch,6,6,0,0,0,0,1,0,0,0.0,station_based
Nußloch,4,4,0,0,0,0,2,0,0,0.0,station_based
Neckargemünd,3,3,0,0,0,0,3,0,0,0.0,station_based
Amprion Brauweiler,1,1,0,0,0,0,1,0,0,0.0,station_based
Amprion Rommerskirchen,1,0,1,0,0,0,0,1,0,100.0,free_floating
Bammental,1,1,0,0,0,0,1,0,0,0.0,station_based
